Store__c,Item_Name__c,Discount_Type__c,Discount_Value__c,Valid_From__c,Valid_To__c,Source__c,API_Source__c,Last_Synced__c,Requires_Clipping__c,Notes__c
Publix,View and Manage your orders in My Order History,Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,Original: View and Manage your orders in My Order History
Publix,"This message has been sent by an automated system, please do not reply.",Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: This message has been sent by an automated system, please do not reply."
Publix,"Your order has been successfully submitted.Pick up your order at the date, time, and store location mentioned below. ...",Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: Your order has been successfully submitted.Pick up your order at the date, time, and store location mentioned below. You can pay for your items at the registers.
Your items can be found in the Deli department."
Publix,"Publix atMIDDLEBURG CROSSING(#736)2640 BLANDING BOULEVARDMIDDLEBURG,FL-32068904-291-5123Pickup Date / Time:Wednesday,...",Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: Publix atMIDDLEBURG CROSSING(#736)2640 BLANDING BOULEVARDMIDDLEBURG,FL-32068904-291-5123Pickup Date / Time:Wednesday, 03/06/19 at 11:45 AM EasternPickup Name:Abby AbbyPickup Number:736-5510"
Publix,"Ordered:Wednesday, 03/06/19 11:07 AM EasternItem Count:3",Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: Ordered:Wednesday, 03/06/19 11:07 AM EasternItem Count:3"
Publix,Product,Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,Original: Product
Publix,Publix Ham Whole SubQty: 1Sub Size:WholeIncluded Recipe Items:Tavern HamBread:WhiteCheese:Yellow AmericanHeating Opti...,Fixed Price,6.99,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,Original: Publix Ham Whole Sub$6.99Qty: 1Sub Size:WholeIncluded Recipe Items:Tavern HamBread:WhiteCheese:Yellow AmericanHeating Options:No ThanksMake It A Combo:No Thanks
Publix,"Publix Ultimate Whole SubQty: 1Bread:WhiteCheese:SwissCondiments:Mayonnaise, Boar's Head® Spicy MustardToppings:Onion...",Fixed Price,6.99,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: Publix Ultimate Whole Sub$6.99Qty: 1Bread:WhiteCheese:SwissCondiments:Mayonnaise, Boar's Head® Spicy MustardToppings:Onions, Green Peppers, Dill Pickles, Black Olives, Salt, Black Pepper, Oil & Vinegar Packets, Lettuce, TomatoHeating Options:No ThanksMake It A Combo:No ThanksSub Size:WholeIncluded Recipe Items:Tavern Ham, Oven Roasted Turkey Breast, Top Round Roast BeefSpecial Instructions:Dad"
Publix,Publix Ultimate Whole SubQty: 1Bread:Italian 5 GrainCheese:SwissCondiments:Boar's Head® Spicy MustardToppings:Green P...,Fixed Price,6.99,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: Publix Ultimate Whole Sub$6.99Qty: 1Bread:Italian 5 GrainCheese:SwissCondiments:Boar's Head® Spicy MustardToppings:Green Peppers, Spinach, Banana Peppers, Jalapeno Peppers, Boar's Head® Garlic Pickles, Black Olives, Salt, Black Pepper, TomatoHeating Options:No ThanksMake It A Combo:No ThanksSub Size:WholeIncluded Recipe Items:Tavern Ham, Oven Roasted Turkey Breast, Top Round Roast BeefSpecial Instructions:Matt"
Publix,Estimated Total,Fixed Price,20.97,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,Original: Estimated Total$20.97
Publix,Estimated prices effective at time of order only and may be subject to variation at time of pickup.,Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,Original: Estimated prices effective at time of order only and may be subject to variation at time of pickup.
Publix,View and Manage your orders in My Order History,Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,Original: View and Manage your orders in My Order History
Publix,"This message has been sent by an automated system, please do not reply.",Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: This message has been sent by an automated system, please do not reply."
Publix,"The password for your Publix.com account has been changed. If you did not change your password, please contact us imm...",Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: The password for your Publix.com account has been changed. If you did not change your password, please contact us immediately at the link below."
Publix,http://corporate.publix.com/contact,Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,Original: http://corporate.publix.com/contact
Publix,"This message has been sent by an automated system, so please do not reply.",Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: This message has been sent by an automated system, so please do not reply."
Publix,Please click the link below to reset your Publix account password. This link will expire in 30 minutes.,Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,Original: Please click the link below to reset your Publix account password. This link will expire in 30 minutes.
Publix,http://www.publix.com/myaccount/verify?validationCode=6c8805d9-ae90-4093-a162-aed64c8097a5,Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,Original: http://www.publix.com/myaccount/verify?validationCode=6c8805d9-ae90-4093-a162-aed64c8097a5
Publix,"If the link expires, you will need to start the process over.",Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: If the link expires, you will need to start the process over."
Publix,"This message has been sent by an automated system, so please do not reply.",Fixed Price,,2025-11-09,2025-11-16,Store Ad,publix_email_parser.py,2025-11-09 23:25:16,False,"Original: This message has been sent by an automated system, so please do not reply."
